eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/clip_fraction,train/n_updates,train/approx_kl,train/std,train/explained_variance,train/entropy_loss,train/learning_rate,train/clip_range,train/value_loss,train/loss,train/policy_gradient_loss
,,,11665408,1554,7502,89,,,,,,,,,,,
-152.25741920922155,317.96875,0.03125,11796480,,,,0.2130126953125,445,0.019637922,0.44920387864112854,0.9616767056286335,-6.652473947405815,0.000282501888,0.2,10.755622863769531,6.591487407684326,-0.0030759311841393354
,,,11796480,1553,7591,90,,,,,,,,,,,
-152.09146345356336,331.7604166666667,0.010416666666666666,11927552,,,,0.14600372314453125,450,0.01355364,0.44788146018981934,0.9681041575968266,-6.635838881134987,0.00028230527999999997,0.2,9.770874202251434,3.5009756088256836,-0.008344617047987413
,,,11927552,1553,7679,91,,,,,,,,,,,
-154.4740644483165,315.6666666666667,0.03125,12058624,,,,0.19439849853515626,455,0.012506236,0.4473092555999756,0.9260166808962822,-6.629146039485931,0.00028210867199999996,0.2,23.430966520309447,11.003061294555664,-0.008112488147162367
,,,12058624,1551,7770,92,,,,,,,,,,,
-156.54606771622915,323.5,0.0,12189696,,,,0.21125030517578125,460,0.0140186455,0.4441489279270172,0.9585094600915909,-6.623952811956405,0.00028191206399999995,0.2,13.224281746149064,6.62859582901001,-0.004694283896242268
,,,12189696,1550,7859,93,,,,,,,,,,,
-159.51488877593735,320.2291666666667,0.0,12320768,,,,0.266839599609375,465,0.016779345,0.4414520263671875,0.9550932422280312,-6.588549375534058,0.000281715456,0.2,13.361463105678558,7.4402923583984375,0.0037525989224377553
,,,12320768,1550,7946,94,,,,,,,,,,,
-149.77049723005598,326.3645833333333,0.020833333333333332,12451840,,,,0.16893768310546875,470,0.02290937,0.4393657147884369,0.9694175496697426,-6.574187201261521,0.000281518848,0.2,9.044915637373924,5.317418098449707,-0.004365426238655346
,,,12451840,1549,8036,95,,,,,,,,,,,
-154.5651218818048,328.5,0.0,12582912,,,,0.17706298828125,475,0.01603623,0.437919020652771,0.9551937244832516,-6.524880769848823,0.00028132224,0.2,13.51864060461521,5.834783554077148,-0.0056138766391086396
,,,12582912,1548,8124,96,,,,,,,,,,,
-154.99577133512722,329.2916666666667,0.0,12713984,,,,0.16387939453125,480,0.011080426,0.43359875679016113,0.9058412313461304,-6.498500859737396,0.000281125632,0.2,29.87076699733734,12.093396186828613,-0.014571938614244573
,,,12713984,1548,8212,97,,,,,,,,,,,
-151.42980992333648,314.0729166666667,0.03125,12845056,,,,0.25059967041015624,485,0.018353345,0.4327804148197174,0.9695555586367846,-6.467629864811897,0.000280929024,0.2,8.486251026391983,3.767577648162842,-0.003357703364599729
,,,12845056,1547,8301,98,,,,,,,,,,,
